Date,Open,High,Low,Close,Adj Close,Volume
1993-03-01,2.253906,2.484375,2.203125,2.394531,1.831052,201008000
1993-04-01,2.390625,2.394531,2.117188,2.132813,1.631499,189539200
1993-05-01,2.140625,2.414063,2.132813,2.265625,1.733094,178752000
1993-06-01,2.273438,2.335938,1.691406,1.722656,1.317749,351235200
1993-07-01,1.718750,1.812500,1.679688,1.757813,1.345117,269683200
1993-08-01,1.765625,1.796875,1.542969,1.683594,1.288322,224012800
1993-09-01,1.679688,1.699219,1.351563,1.406250,1.076093,355510400
1993-10-01,1.406250,1.546875,1.398438,1.511719,1.157338,244019200
1993-11-01,1.511719,1.699219,1.492188,1.496094,1.145376,234256000
1993-12-01,1.507813,1.519531,1.347656,1.445313,1.106499,334928000
1994-01-01,1.449219,1.652344,1.445313,1.562500,1.196838,267929600
1994-02-01,1.570313,1.625000,1.527344,1.617188,1.238728,167766400
1994-03-01,1.609375,1.824219,1.578125,1.656250,1.268648,292531200
1994-04-01,1.640625,1.835938,1.632813,1.675781,1.284227,163840000
1994-05-01,1.683594,1.933594,1.656250,1.843750,1.412950,189664000
1994-06-01,1.835938,1.898438,1.757813,1.867188,1.430911,165734400
1994-07-01,1.871094,1.996094,1.820313,1.921875,1.473457,186275200
1994-08-01,1.929688,2.082031,1.921875,2.011719,1.542339,192784000
1994-09-01,2.019531,2.074219,1.816406,1.851563,1.419550,171948800
1994-10-01,1.851563,1.964844,1.816406,1.902344,1.459046,86121600
1994-11-01,1.898438,2.041016,1.855469,1.996094,1.530949,119628800
1994-12-01,2.000000,2.390625,1.988281,2.332031,1.788604,218908800
1995-01-01,2.312500,2.312500,2.179688,2.218750,1.702541,171318400
1995-02-01,2.203125,2.312500,2.148438,2.246094,1.723523,154931200
1995-03-01,2.246094,2.437500,2.238281,2.343750,1.798458,248832000
1995-04-01,2.335938,2.402344,2.214844,2.394531,1.838191,208822400
1995-05-01,2.386719,2.519531,2.378906,2.464844,1.892168,161600000
1995-06-01,2.460938,2.675781,2.441406,2.625000,2.015114,160800000
1995-07-01,2.617188,2.898438,2.601563,2.824219,2.168898,168070400
1995-08-01,2.832031,3.023438,2.789063,2.894531,2.222895,179542400
1995-09-01,2.894531,3.546875,2.832031,3.472656,2.666873,277667200
1995-10-01,3.476563,3.648438,3.363281,3.539063,2.718783,173388800
1995-11-01,3.531250,3.914063,3.500000,3.625000,2.784800,139150400
1995-12-01,3.625000,4.398438,3.617188,4.351563,3.342963,152985600
1996-01-01,4.296875,4.460938,3.976563,4.359375,3.351058,166953600
1996-02-01,4.171875,4.312500,3.968750,4.062500,3.122850,193336000
1996-03-01,4.085938,5.367188,4.085938,5.078125,3.903565,240600000
1996-04-01,5.078125,5.914063,4.859375,5.468750,4.206136,219643200
1996-05-01,5.476563,6.507813,5.468750,6.273438,4.825041,207619200
1996-06-01,6.265625,6.742188,6.078125,6.421875,4.939205,137120000
1996-07-01,6.429688,6.906250,5.984375,6.429688,4.947104,263596800
1996-08-01,6.445313,6.953125,6.445313,6.750000,5.193558,132184000
1996-09-01,6.648438,7.843750,6.617188,7.609375,5.854774,207443200
1996-10-01,7.625000,8.000000,7.187500,7.390625,5.688475,195209600
