Date,Open,High,Low,Close,Adj Close,Volume
1993-03-01,16.750000,19.500000,16.562500,19.187500,17.461498,2695200
1993-04-01,19.125000,22.500000,19.125000,22.437500,20.537745,2636200
1993-05-01,22.375000,22.500000,20.687500,21.062500,19.279163,1421600
1993-06-01,21.000000,21.937500,19.562500,20.062500,18.363834,1757000
1993-07-01,20.125000,21.500000,19.687500,21.187500,19.393581,718000
1993-08-01,21.062500,21.812500,20.875000,21.750000,19.908459,1185200
1993-09-01,21.875000,22.375000,20.750000,21.312500,19.508001,1326800
1993-10-01,21.375000,22.812500,21.000000,22.750000,20.941311,1192000
1993-11-01,22.687500,23.125000,20.937500,21.562500,19.848225,1386600
1993-12-01,22.375000,25.312500,22.312500,24.937500,22.954899,2041800
1994-01-01,24.750000,29.875000,24.687500,29.750000,27.384790,4986200
1994-02-01,29.500000,30.875000,27.562500,30.750000,28.305288,2678800
1994-03-01,30.500000,30.500000,28.062500,28.187500,25.946510,2783400
1994-04-01,27.875000,29.062500,27.750000,27.937500,25.821686,1251200
1994-05-01,27.875000,29.687500,27.125000,29.500000,27.265856,876400
1994-06-01,30.062500,30.687500,29.437500,30.375000,28.074594,1458800
1994-07-01,30.125000,31.625000,28.625000,29.625000,27.381388,1344400
1994-08-01,29.687500,30.312500,29.250000,30.312500,28.016819,856600
1994-09-01,30.437500,30.625000,29.000000,29.187500,26.977030,991400
1994-10-01,29.062500,30.250000,28.687500,30.187500,28.018772,1278800
1994-11-01,30.375000,30.437500,25.187500,26.562500,24.654198,2816600
1994-12-01,26.875000,28.125000,26.312500,28.062500,26.046431,1564600
1995-01-01,28.062500,28.062500,23.375000,23.500000,21.811712,1590800
1995-02-01,23.562500,24.312500,21.250000,21.812500,20.245445,2127200
1995-03-01,21.937500,24.750000,21.937500,24.437500,22.681858,1804000
1995-04-01,24.187500,26.250000,23.687500,25.437500,23.740822,1855000
1995-05-01,25.562500,25.937500,23.812500,24.500000,22.865850,1062000
1995-06-01,24.500000,25.250000,22.937500,24.250000,22.632528,1922600
1995-07-01,24.375000,27.687500,24.375000,27.125000,25.315760,2222600
1995-08-01,27.125000,29.125000,26.750000,27.562500,25.724081,1891200
1995-09-01,27.562500,27.625000,25.562500,26.437500,24.674120,1216000
1995-10-01,26.250000,26.437500,22.750000,22.875000,21.442516,1730400
1995-11-01,23.000000,26.937500,22.750000,26.937500,25.250612,1875200
1995-12-01,27.062500,30.750000,27.062500,30.687500,28.765776,1792000
1996-01-01,30.500000,33.125000,29.375000,31.000000,29.058708,2329200
1996-02-01,30.687500,31.375000,29.187500,29.250000,27.418293,2110200
1996-03-01,29.125000,30.437500,28.687500,30.375000,28.472849,1732600
1996-04-01,30.437500,32.437500,29.500000,32.250000,30.350300,3191000
1996-05-01,32.187500,32.687500,31.625000,32.062500,30.173841,1832000
1996-06-01,31.937500,33.312500,31.375000,33.062500,31.114941,1534400
1996-07-01,33.062500,33.125000,30.750000,32.000000,30.115025,1696600
1996-08-01,32.000000,32.750000,31.500000,31.625000,29.762117,972400
1996-09-01,31.437500,32.000000,31.250000,31.812500,29.938570,1198600
1996-10-01,31.812500,32.062500,30.125000,30.125000,28.451336,1494200
1996-11-01,29.937500,32.687500,29.437500,32.312500,30.517303,1247400
1996-12-01,31.937500,33.937500,31.875000,32.812500,30.989532,2017400
1997-01-01,32.750000,33.875000,31.687500,33.687500,31.815907,2510400
1997-02-01,33.125000,37.125000,32.937500,36.187500,34.177017,3595800
1997-03-01,36.062500,37.000000,34.187500,34.562500,32.642303,1726400
1997-04-01,34.750000,36.687500,34.750000,36.687500,34.771915,2074000
1997-05-01,36.687500,42.875000,36.562500,42.625000,40.399406,4389200
1997-06-01,42.750000,44.437500,42.562500,44.000000,41.702614,2713800
1997-07-01,43.375000,50.937500,42.531250,50.906250,48.248264,5250400
